Estação: Ponte Adolfo Konder


Solicitações dos dados a cada 15 minutos

07/07/2021 - 17:45:09 	   ND 
07/07/2021 - 18:00:05 	   ND 
07/07/2021 - 18:15:11 	   ND 
07/07/2021 - 18:30:06 	   ND 
07/07/2021 - 18:45:01 	   ND 
07/07/2021 - 19:00:06 	   ND 
07/07/2021 - 19:15:02 	   ND 
07/07/2021 - 19:30:08 	   ND 
07/07/2021 - 19:45:03 	   ND 
07/07/2021 - 20:00:10 	   ND 
07/07/2021 - 20:15:06 	   ND 
07/07/2021 - 20:30:02 	   ND 
07/07/2021 - 21:00:02 	   ND 
07/07/2021 - 21:15:07 	   ND 
07/07/2021 - 21:30:02 	   ND 
07/07/2021 - 21:45:08 	   ND 
07/07/2021 - 22:00:03 	   ND 
07/07/2021 - 22:15:08 	   ND 
07/07/2021 - 22:30:04 	   ND 
07/07/2021 - 22:45:10 	   ND 
07/07/2021 - 23:00:06 	   ND 
07/07/2021 - 23:15:01 	   ND 
07/07/2021 - 23:30:06 	   ND 
07/07/2021 - 23:45:02 	   ND 
08/07/2021 - 00:00:07 	   ND 
08/07/2021 - 00:15:03 	   ND 
08/07/2021 - 00:30:08 	   ND 
08/07/2021 - 00:45:04 	   ND 
08/07/2021 - 01:00:09 	   ND 
08/07/2021 - 01:15:05 	   ND 
08/07/2021 - 01:30:10 	   ND 
08/07/2021 - 01:45:06 	   ND 
08/07/2021 - 02:00:01 	   ND 
08/07/2021 - 02:15:06 	   ND 
08/07/2021 - 02:30:11 	   ND 
08/07/2021 - 02:45:05 	   ND 
08/07/2021 - 03:00:11 	   ND 
08/07/2021 - 03:15:06 	   ND 
08/07/2021 - 03:30:10 	   ND 
08/07/2021 - 03:45:05 	   ND 
08/07/2021 - 04:00:10 	   ND 
08/07/2021 - 04:15:05 	   ND 
08/07/2021 - 04:30:10 	   ND 
08/07/2021 - 04:45:04 	   ND 
08/07/2021 - 05:00:10 	   ND 
08/07/2021 - 05:15:05 	   ND 
08/07/2021 - 05:30:10 	   ND 
08/07/2021 - 05:45:05 	   ND 
08/07/2021 - 06:00:10 	   ND 
08/07/2021 - 06:15:06 	   ND 
08/07/2021 - 06:30:01 	   ND 
08/07/2021 - 06:45:07 	   ND 
08/07/2021 - 07:00:07 	  0.0 
08/07/2021 - 07:15:03 	   ND 
08/07/2021 - 07:30:09 	   ND 
08/07/2021 - 07:45:05 	   ND 
08/07/2021 - 08:00:01 	   ND 
08/07/2021 - 08:15:07 	   ND 
08/07/2021 - 08:30:03 	   ND 
08/07/2021 - 08:45:10 	   ND 
08/07/2021 - 09:00:05 	   ND 
08/07/2021 - 09:15:11 	   ND 
08/07/2021 - 09:30:06 	   ND 
08/07/2021 - 09:45:01 	   ND 
08/07/2021 - 10:00:07 	   ND 
08/07/2021 - 10:15:02 	   ND 
08/07/2021 - 10:30:08 	   ND 
08/07/2021 - 10:45:03 	   ND 
08/07/2021 - 11:00:08 	   ND 
08/07/2021 - 11:15:03 	   ND 
08/07/2021 - 11:30:09 	   ND 
08/07/2021 - 11:45:04 	   ND 
08/07/2021 - 12:00:10 	   ND 
08/07/2021 - 12:15:05 	   ND 
08/07/2021 - 12:30:01 	   ND 
08/07/2021 - 12:45:06 	   ND 
08/07/2021 - 13:00:01 	   ND 
08/07/2021 - 13:15:07 	   ND 
08/07/2021 - 13:30:02 	   ND 
08/07/2021 - 13:45:08 	   ND 
08/07/2021 - 14:00:04 	   ND 
08/07/2021 - 14:15:10 	   ND 
08/07/2021 - 14:30:05 	   ND 
08/07/2021 - 14:45:02 	   ND 
08/07/2021 - 15:00:08 	   ND 
08/07/2021 - 15:15:04 	   ND 
08/07/2021 - 15:30:09 	   ND 
08/07/2021 - 15:45:05 	   ND 
08/07/2021 - 16:00:01 	   ND 
08/07/2021 - 16:15:06 	   ND 
08/07/2021 - 16:30:01 	   ND 
08/07/2021 - 16:45:08 	   ND 
08/07/2021 - 17:00:03 	   ND 
08/07/2021 - 17:15:08 	   ND 
08/07/2021 - 17:30:05 	   ND 
08/07/2021 - 17:45:00 	   ND 
08/07/2021 - 18:00:06 	   ND 
08/07/2021 - 18:15:01 	   ND 
08/07/2021 - 18:30:07 	   ND 
08/07/2021 - 18:45:03 	   ND 
08/07/2021 - 19:00:08 	   ND 
08/07/2021 - 19:15:04 	   ND 
08/07/2021 - 19:30:09 	   ND 
08/07/2021 - 19:45:05 	   ND 
08/07/2021 - 20:00:01 	   ND 
08/07/2021 - 20:15:07 	   ND 
08/07/2021 - 20:30:02 	   ND 
08/07/2021 - 20:45:08 	   ND 
08/07/2021 - 21:00:03 	   ND 
08/07/2021 - 21:15:09 	   ND 
08/07/2021 - 21:30:04 	   ND 
08/07/2021 - 21:45:09 	   ND 
08/07/2021 - 22:00:05 	   ND 
08/07/2021 - 22:15:10 	   ND 
08/07/2021 - 22:30:05 	   ND 
08/07/2021 - 22:45:01 	   ND 
08/07/2021 - 23:00:06 	   ND 
08/07/2021 - 23:15:02 	   ND 
08/07/2021 - 23:30:07 	   ND 
08/07/2021 - 23:45:02 	   ND 
09/07/2021 - 00:00:08 	   ND 
09/07/2021 - 00:15:03 	   ND 
09/07/2021 - 00:30:09 	   ND 
09/07/2021 - 00:45:04 	   ND 
